temp,Latin,Old English,Old Norse,Middle French
84,,mij,meg,moi
85,obsequia,diensten,tjenester,prestations
86,aliqua,weinig,omkring,certains
87,vulneratus,deze,disse,ces
88,adhucemus momentum,klik,klikk ,cliquez 
89,,zijn, strømkretsen , smits
90,faciam,graag,liker,j'aime
91,servitas,service,tjeneste,service
92,quam,dan,enn,que
93,inventio,vinden,finn,trouve
94,sumptus,prijs,pris,prix
95,constitutum,datum,dato,date
96,back domus,terug,bakside,retour
97,cacumen,bovenkant,topp,haut de page
98,essentia,mensen,personer,personnes
99,in muros,gehad.,hadde,avais
100,album,lijst,liste,annonce
101,nomen,naam,navn,name
102,aequus,precies,kun,seulement
103,supra,over,over,finie
104,aio,provincie,tilstand,état
105,annus,jaar,år,année
106,dies diei,dag,dag,jour
107,igni,in:,til,vers le
108,cursus electronicus,e-mail,epost,email
109,,twee,to,deux
110,valetudo,gezondheid,helse,la santé
111,,wereld,verden,monde
112,re,re,re,re
113,posterus,volgende,neste,suiv
114,free,gebruikt,brukt,occasion
115,incedo,gaan,gå,aller
116,come,werk,arbeid,de travail
117,duro,laatste,siste,dernier
118,quasi,bijna,nesten,plus
119,producta,producten,produkter,déversés
120,musica,muziek,musikk,musique
121,eme,kopen,kjøpe,acheter
122,analysisdata,data,data,données
123,adipiscor,merk,bygge,faire
124,eōs,hen,dem,le leur
125,nodere,zou moeten,bør,devrais
126,genimen,product,produkt,produit
127,disciplina,systeem,system,système
128,visit post fvnera virtvs,bericht,post,postez
129,i love her,haar,henne,son
130,urbs urbis,stad,by,ville
131,addere,toevoegen,legg til,ajouter
132,pagina,policy,politikk,politique.
133,numerus,nummer,nummer,nombre
134,sic,zodanig,den slags,tel
135,canisne interficere me?,aub,ta,s'il vous plaît 
136,praesto semper,beschikbaar,tilgjengelig,disponible
137,iux auctoris,copyright,opphavsrett,copyright
138,firmamentum,help,kundestøtte,documentation
139,hologram,bericht,melding,message
140,postquam,na,etter,après
141,optime,beste,best,meilleur
142,programmatura computatralis,software,programvare,logiciel
143,tum,dan,så,alors
144,jan louie uy,jan,jan,janv
145,bonum ad te,goed,god,bien
146,video,video,video,vidéo
147,bene,wel,brønn,puits
148,ubi,waarbij,hvor,où
149,informatio,informatie,info,info
150,iuribus,rechten,rettigheter,droits
151,commune,openbaar,offentlig, l’accompagnement
152,libri,boeken,bøker,livres
153,volant,hoog,høy,elevé
154,schola,school,skole,à l'école
155,jesum cristum rey santo pater y benidectus salvanos,genaamd,til og med,à travers
156,quisque,per stuk,hver,indiv.
157,litterae,links,lenker,liens
158,esse dixit,zij,hun,elle
159,recentio,review,omtale,révision
160,annos,jaar,år,années
161,ordo,order,ordre,commande
162,valde bene factum,heel,vanlige,très
163,privata,privacy,personvernvern,vie privée
164,liber libri,boek,bok,cahier
165,res,artikelen,deler,éléments
166,vexillum,maatschappij,firma,société
167,legere,gelezen,,read
168,classis,groep,gruppe,grouper
169,peto,behoefte,behov,avez besoin
170,multi,veel,mange,grand
171,usor,gebruiker,bruker,utilisateur
172,dixis,zei,sa,disent
173,familia dei,de,de,de
174,facait,volgt regelmatig,gjør,est-ce que
175,colloquor,stel in,sett,jeu
176,sub,onder het,under,sous le signe
177,general,algemeen,generell,générale
178,exquisitio,onderzoek,forskningsaktiviteter,recherche
179,university,universiteit,universitet,université
180,ianuarius,januari,januar,janvier
181,mittere,mail,post,mail
182,plenus,vol,hel,complet
183,tabula geographica,kaart,kart,map
184,paginae,klantreviews,annmeldelser,avis
185,programma,programma,plan,pour la petite enfance
186,,levensduur,liv,la vie
187,non scitote,weten,kunnskap,sais pas
188,fratrum ludorum,spellen,spill,jeux
189,modus,weg,måte,façon
190,cunctis,dagen,dagene,jours
191,procuratio,beheer,administrasjon,management
192,sectio,onderdeel,avdeling,partie
193,posset,kon. ,kunne,pourriez
194,roma antiqua,lekker,god,super
195,unitum draco,vereenigde,united,unis
196,deversorium,hotel,hotell,hôtel
197,existentium,echte,ekte,réel
198,motum,item,artikkel,point
199,,internationaal,internasjonalt,internationale
200,essentia,midden,sentrert,centre
201,ebay,ebay,ebay,ebay
202,mustum,moet,må,doit
203,storeus,winkel,butikk,stocker
204,peregrinatio,reizen,gå,voyager
205,litterae,opmerkingen,kommentarer,commentaires
206,praeficere,gemaakt,gjort,made
207,evolutio,ontwikkeling,utvikling,développement
208,nuntio,verslag,rapport,report
209,finis eum,uit,avslag,off
210,membrum,lid,medlem,membre
211,discipuli,details,detaljer,informations sur la mere 
212,designo,lijn,linje,ligne
213,pretium,voorwaarden,vilkår,conditions
214,antea,vóór,før,avant
215,deversorium,hotels,hoteller,hôtels
216,una,wat we ook wel gedaan hebben.,gjorde,déjà fait
217,mittere,verstuur,send,envoyer
218,dexter,rechts,høyre,droite
219,typus,type,type,type
220,quia,omdat,fordi,parce que
221,verare,lokaal,lokalt,local
222,illos,die,de,celles
223,intrare,gebruik,bruker,utilisation
224,consequitur,resultaten,resultater,résultats
225,officina,kantoor,kontor,bureau
226,disciplina,opleiding,utdanning,enseignement
227,nationalus,nationaal,nasjonalt,national
228,ravindu kaushan,auto,bil,chariot
229,exemplar,ontwerp,design,conception
230,sumere ,nemen,anta,prendre
231,publicare,gepost,publisert,posté
232,interrete,internet,internett,internet
233,appellare,adres,adresse,adresse
234,societas humana,gemeenschap,samfunn,communauté
235,intus,binnen,innenfor,à l'intérieur
236,civitas,staten,delstater,statuts
237,area,(regio),område,aire
238,desiderium,willen,begjære,vouloir
239,advoco,telefoon,telefon,téléphone
240,discus versatilis digitalis,dvd,dvd,dvd
241,transportatio,verzending,levering,navigation
242,credibus,gereserveerd,reservert,réservé
243,disciplina,onderwerp,emne,sujet
244,inter,tussen,imellom,entre
245,forum,forum,forum,forum
246,familia,familie,familie,famille
247,longus,lang,lenge,longue
248,basedus,gebaseerd op,basert,fondé
249,kod,code,kode,code
