,temp,Latin,Old English,Old Norse,Middle French,Epitran-PanPhon estimated closest word,Epitran-PanPhon estimation
email,108,cursus electronicus,e-mail,epost,email,Old English,e-mail
two,109,,twee,to,deux,Old Norse,to
health,110,valetudo,gezondheid,helse,la santé,Old Norse,helse
world,111,,wereld,verden,monde,Middle French,monde
re,112,re,re,re,re,Latin,re
next,113,posterus,volgende,neste,suiv,Middle French,suiv
used,114,free,gebruikt,brukt,occasion,Latin,free
go,115,incedo,gaan,gå,aller,Old Norse,gå
work,116,come,werk,arbeid,de travail,Old English,werk
last,117,duro,laatste,siste,dernier,Latin,duro
most,118,quasi,bijna,nesten,plus,Middle French,plus
products,119,producta,producten,produkter,déversés,Latin,producta
music,120,musica,muziek,musikk,musique,Latin,musica
buy,121,eme,kopen,kjøpe,acheter,Latin,eme
data,122,analysisdata,data,data,données,Old English,data
make,123,adipiscor,merk,bygge,faire,Old English,merk
them,124,eōs,hen,dem,le leur,Old Norse,dem
should,125,nodere,zou moeten,bør,devrais,Latin,nodere
product,126,genimen,product,produkt,produit,Old English,product
system,127,disciplina,systeem,system,système,Old Norse,system
post,128,visit post fvnera virtvs,bericht,post,postez,Old Norse,post
her,129,i love her,haar,henne,son,Middle French,son
city,130,urbs urbis,stad,by,ville,Old English,stad
add,131,addere,toevoegen,legg til,ajouter,Old Norse,legg til
policy,132,pagina,policy,politikk,politique.,Old English,policy
number,133,numerus,nummer,nummer,nombre,Old English,nummer
such,134,sic,zodanig,den slags,tel,Latin,sic
please,135,canisne interficere me?,aub,ta,s'il vous plaît,Old English,aub
available,136,praesto semper,beschikbaar,tilgjengelig,disponible,Middle French,disponible
copyright,137,iux auctoris,copyright,opphavsrett,copyright,Old English,copyright
support,138,firmamentum,help,kundestøtte,documentation,Old English,help
message,139,hologram,bericht,melding,message,Middle French,message
after,140,postquam,na,etter,après,Old Norse,etter
best,141,optime,beste,best,meilleur,Old Norse,best
software,142,programmatura computatralis,software,programvare,logiciel,Old English,software
then,143,tum,dan,så,alors,Old English,dan
jan,144,jan louie uy,jan,jan,janv,Old English,jan
good,145,bonum ad te,goed,god,bien,Old English,goed
video,146,video,video,video,vidéo,Latin,video
well,147,bene,wel,brønn,puits,Latin,bene
where,148,ubi,waarbij,hvor,où,Old Norse,hvor
info,149,informatio,informatie,info,info,Old Norse,info
rights,150,iuribus,rechten,rettigheter,droits,Middle French,droits
public,151,commune,openbaar,offentlig,l’accompagnement,Latin,commune
books,152,libri,boeken,bøker,livres,Old Norse,bøker
high,153,volant,hoog,høy,elevé,Old English,hoog
school,154,schola,school,skole,à l'école,Old English,school
through,155,jesum cristum rey santo pater y benidectus salvanos,genaamd,til og med,à travers,Old English,genaamd
each,156,quisque,per stuk,hver,indiv.,Old Norse,hver
links,157,litterae,links,lenker,liens,Old English,links
she,158,esse dixit,zij,hun,elle,Old English,zij
review,159,recentio,review,omtale,révision,Old English,review
years,160,annos,jaar,år,années,Latin,annos
order,161,ordo,order,ordre,commande,Old English,order
very,162,valde bene factum,heel,vanlige,très,Old English,heel
privacy,163,privata,privacy,personvernvern,vie privée,Old English,privacy
book,164,liber libri,boek,bok,cahier,Old English,boek
items,165,res,artikelen,deler,éléments,Old Norse,deler
company,166,vexillum,maatschappij,firma,société,Middle French,société
read,167,legere,gelezen,,read,Middle French,read
group,168,classis,groep,gruppe,grouper,Old English,groep
need,169,peto,behoefte,behov,avez besoin,Latin,peto
many,170,multi,veel,mange,grand,Old Norse,mange
user,171,usor,gebruiker,bruker,utilisateur,Latin,usor
said,172,dixis,zei,sa,disent,Old English,zei
de,173,familia dei,de,de,de,Old English,de
does,174,facait,volgt regelmatig,gjør,est-ce que,Old Norse,gjør
set,175,colloquor,stel in,sett,jeu,Middle French,jeu
under,176,sub,onder het,under,sous le signe,Old Norse,under
general,177,general,algemeen,generell,générale,Latin,general
research,178,exquisitio,onderzoek,forskningsaktiviteter,recherche,Middle French,recherche
university,179,university,universiteit,universitet,université,Latin,university
january,180,ianuarius,januari,januar,janvier,Old English,januari
mail,181,mittere,mail,post,mail,Old English,mail
full,182,plenus,vol,hel,complet,Old English,vol
map,183,tabula geographica,kaart,kart,map,Middle French,map
reviews,184,paginae,klantreviews,annmeldelser,avis,Latin,paginae
program,185,programma,programma,plan,pour la petite enfance,Latin,programma
life,186,,levensduur,liv,la vie,Old Norse,liv
know,187,non scitote,weten,kunnskap,sais pas,Old English,weten
games,188,fratrum ludorum,spellen,spill,jeux,Middle French,jeux
way,189,modus,weg,måte,façon,Old English,weg
days,190,cunctis,dagen,dagene,jours,Old English,dagen
management,191,procuratio,beheer,administrasjon,management,Middle French,management
part,192,sectio,onderdeel,avdeling,partie,Middle French,partie
could,193,posset,kon.,kunne,pourriez,Old Norse,kunne
great,194,roma antiqua,lekker,god,super,Middle French,super
united,195,unitum draco,vereenigde,united,unis,Old Norse,united
hotel,196,deversorium,hotel,hotell,hôtel,Old English,hotel
real,197,existentium,echte,ekte,réel,Middle French,réel
item,198,motum,item,artikkel,point,Old English,item
international,199,,internationaal,internasjonalt,internationale,Old English,internationaal
center,200,essentia,midden,sentrert,centre,Middle French,centre
ebay,201,ebay,ebay,ebay,ebay,Latin,ebay
must,202,mustum,moet,må,doit,Old English,moet
store,203,storeus,winkel,butikk,stocker,Latin,storeus
travel,204,peregrinatio,reizen,gå,voyager,Old English,reizen
comments,205,litterae,opmerkingen,kommentarer,commentaires,Latin,litterae
made,206,praeficere,gemaakt,gjort,made,Middle French,made
development,207,evolutio,ontwikkeling,utvikling,développement,Middle French,développement
report,208,nuntio,verslag,rapport,report,Middle French,report
off,209,finis eum,uit,avslag,off,Middle French,off
member,210,membrum,lid,medlem,membre,Middle French,membre
details,211,discipuli,details,detaljer,informations sur la mere,Old English,details
line,212,designo,lijn,linje,ligne,Middle French,ligne
terms,213,pretium,voorwaarden,vilkår,conditions,Old Norse,vilkår
before,214,antea,vóór,før,avant,Middle French,avant
hotels,215,deversorium,hotels,hoteller,hôtels,Old English,hotels
did,216,una,wat we ook wel gedaan hebben.,gjorde,déjà fait,Latin,una
send,217,mittere,verstuur,send,envoyer,Old Norse,send
right,218,dexter,rechts,høyre,droite,Old Norse,høyre
type,219,typus,type,type,type,Old English,type
because,220,quia,omdat,fordi,parce que,Middle French,parce que
local,221,verare,lokaal,lokalt,local,Middle French,local
those,222,illos,die,de,celles,Latin,illos
using,223,intrare,gebruik,bruker,utilisation,Old Norse,bruker
results,224,consequitur,resultaten,resultater,résultats,Middle French,résultats
office,225,officina,kantoor,kontor,bureau,Middle French,bureau
education,226,disciplina,opleiding,utdanning,enseignement,Old Norse,utdanning
national,227,nationalus,nationaal,nasjonalt,national,Middle French,national
car,228,ravindu kaushan,auto,bil,chariot,Old Norse,bil
design,229,exemplar,ontwerp,design,conception,Old Norse,design
take,230,sumere,nemen,anta,prendre,Old Norse,anta
posted,231,publicare,gepost,publisert,posté,Middle French,posté
internet,232,interrete,internet,internett,internet,Old English,internet
address,233,appellare,adres,adresse,adresse,Old Norse,adresse
community,234,societas humana,gemeenschap,samfunn,communauté,Middle French,communauté
within,235,intus,binnen,innenfor,à l'intérieur,Old English,binnen
states,236,civitas,staten,delstater,statuts,Old English,staten
area,237,area,(regio),område,aire,Latin,area
want,238,desiderium,willen,begjære,vouloir,Old English,willen
phone,239,advoco,telefoon,telefon,téléphone,Latin,advoco
dvd,240,discus versatilis digitalis,dvd,dvd,dvd,Old English,dvd
shipping,241,transportatio,verzending,levering,navigation,Old Norse,levering
reserved,242,credibus,gereserveerd,reservert,réservé,Old Norse,reservert
subject,243,disciplina,onderwerp,emne,sujet,Middle French,sujet
between,244,inter,tussen,imellom,entre,Old English,tussen
forum,245,forum,forum,forum,forum,Latin,forum
family,246,familia,familie,familie,famille,Latin,familia
long,247,longus,lang,lenge,longue,Old English,lang
based,248,basedus,gebaseerd op,basert,fondé,Old Norse,basert
code,249,kod,code,kode,code,Old English,code
